course,lo,level,justification,complexity,cognitive_category,department
Advanced Computer Architecture,CO-1: Explain the principles and practices underlying the design of modern processors,Understand,"The verb 'Explain' indicates a need to demonstrate comprehension of concepts, which falls under the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Computer Science & Engineering
Advanced Computer Architecture,CO-2: Explain the principles and practices underlying the design of memory hierarchies,Understand,"Similar to CO-1, the verb 'Explain' requires demonstrating comprehension, aligning with the 'Understand' level.",2,Lower-Order Thinking,Computer Science & Engineering
Advanced Computer Architecture,"CO-3: Be able to analyze the different aspects of a processor/memory architecture qualitatively and quantitively, and further develop strategies to mitigate any observed bottlenecks",Analyze,"The verb 'analyze' directly corresponds to the 'Analyze' level, as it involves breaking down a system and identifying components and relationships.",4,Higher-Order Thinking,Computer Science & Engineering
Advanced Computer Architecture,CO-4: Explain and identify security vulnerabilities in modern computing systems. Be able to propose techniques to circumvent the identified threats,Analyze,"The verbs 'identify' and 'explain' combined with 'propose' suggest a level of breaking down systems to find vulnerabilities and then creating solutions, fitting 'Analyze'.",4,Higher-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,"CO-1: Demonstrate a familiarity with concepts of network management, standards, and protocols",Understand,"The verb 'demonstrate' in this context implies explaining or showing understanding of concepts, rather than simply recalling them.",2,Lower-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,CO-2: Discuss various privacy-enhancing techniques used in modern computer networks,Understand,The verb 'discuss' indicates explaining and interpreting information about privacy-enhancing techniques.,2,Lower-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,CO-3: Apply the knowledge of distance-vector (RIP and IGRP) and link-state (OSPF and IS-IS) routing protocols to find routing paths for a variety of networks,Apply,The verb 'apply' directly indicates using learned knowledge to solve a problem – finding routing paths.,3,Higher-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,CO-4: Analyze wireless LAN technologies including IEEE 802.11,Analyze,The verb 'analyze' directly implies breaking down and examining wireless LAN technologies.,4,Higher-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,"CO-5: Design efficient routing protocols for advanced computer networks (e.g., SDN and ICN)",Create,The verb 'design' indicates generating a new product or solution – efficient routing protocols.,6,Higher-Order Thinking,Computer Science & Engineering
Advanced Computer Networks,CO-6: Develop a framework for building a large-scale enterprise network,Create,"The verb 'develop' implies creating a new framework, which falls into the creation level.",6,Higher-Order Thinking,Computer Science & Engineering
Advanced Natural Language Processing (NLP),CO-1: Demonstrate the knowledge of Advanced building blocks of NLP,Understand,"The verb 'Demonstrate' in this context implies showing understanding of the building blocks, rather than simply recalling them. It requires explaining or interpreting the knowledge.",2,Lower-Order Thinking,Linguistics & NLP
Advanced Natural Language Processing (NLP),"CO-2: Apply NLP machine learning algorithms for Machine Translation, Summarization",Apply,The verb 'Apply' directly indicates using learned algorithms in a practical context – Machine Translation and Summarization.,3,Higher-Order Thinking,Linguistics & NLP
Advanced Natural Language Processing (NLP),CO-3: Demonstrate the knowledge of Dense and contextual representation for NLP,Understand,"Similar to CO-1, 'Demonstrate' suggests showing comprehension of the concepts, going beyond simple recall.",2,Lower-Order Thinking,Linguistics & NLP
Advanced Natural Language Processing (NLP),CO-4: Explain the concepts behind Deep Learning models,Understand,"The verb 'Explain' clearly falls into the 'Understand' category, requiring interpretation and articulation of concepts.",2,Lower-Order Thinking,Linguistics & NLP
Advanced Natural Language Processing (NLP),CO-5: Discuss the approaches to global and contextual semantic representation,Understand,"The verb 'Discuss' implies a level of comprehension and the ability to articulate different approaches, fitting the 'Understand' level.",2,Lower-Order Thinking,Linguistics & NLP
Advanced Natural Language Processing (NLP),CO-6: Apply the above concepts for fundamental NLP tasks,Apply,The verb 'Apply' indicates using previously learned concepts in a new context – fundamental NLP tasks.,3,Higher-Order Thinking,Linguistics & NLP
Advanced Operating Systems,CO 1: Understanding the principles of design of operating systems,Understand,"The verb 'Understanding' directly indicates comprehension and interpretation of concepts, aligning with the 'Understand' level of Bloom's Taxonomy.",2,Lower-Order Thinking,Other
Advanced Operating Systems,"CO 2: Look at four major OS Components in depth: System Call, Memory Management, CPU Scheduling and Concurrency",Understand,"The verb 'Look at' implies examining and interpreting the components, which falls under the 'Understand' level as it requires more than simple recall.",2,Lower-Order Thinking,Other
Advanced Operating Systems,CO 3: Understanding the design and functioning of Linux kernel components,Understand,"The verb 'Understanding' indicates a need to grasp the concepts of design and functioning, fitting the 'Understand' level.",2,Lower-Order Thinking,Other
Advanced Operating Systems,CO 4: Experiencing the kernel by passive/active observation,Apply,"The verb 'Experiencing' through observation suggests applying knowledge to a real-world context, aligning with the 'Apply' level.",3,Higher-Order Thinking,Other
Advanced Operating Systems,CO 5: Extending the Linux kernel for deeper understanding,Create,"The verb 'Extending' implies generating something new (modifying the kernel), which is the highest level of Bloom's Taxonomy – 'Create'.",6,Higher-Order Thinking,Other
Advanced Operating Systems,"CO 6: Exploring current research trends in OS, Linux being the reference OS",Analyze,"The verb 'Exploring' suggests investigating and examining current trends, which aligns with the 'Analyze' level of Bloom's Taxonomy.",4,Higher-Order Thinking,Other
Algorithms and Operating Systems,"CO-1: Learn the components of an Operating system, its requirement and how the Operating System handles memory management, files, process synchronization and deadlocks",Understand,"The verb 'Learn' implies grasping the components and how the OS handles various aspects, indicating comprehension rather than simple recall or application.",2,Lower-Order Thinking,Computer Science & Engineering
Algorithms and Operating Systems,"CO-2: Apply the concepts taught to create and evaluate algorithms that allow process synchronization, solve problems to evaluate how an Operating system manages a given memory requirement, determine whether a particular scenario leads to a deadlock and how to avoid it",Apply,"The verbs 'Apply', 'create', 'evaluate', 'solve', and 'determine' all indicate using learned concepts in new situations and problem-solving.",3,Higher-Order Thinking,Computer Science & Engineering
Algorithms and Operating Systems,CO-3: Implement an application on the top of given operating system in an efficient manner based on process and thread framework available in the given operating system,Apply,"The verb 'Implement' signifies using knowledge to build something concrete, which falls under application.",3,Higher-Order Thinking,Computer Science & Engineering
Algorithms and Operating Systems,"CO-4: Familiarize students with algorithmic thinking, design and evaluating the complexity of the algorithm. Students should be able to compare between different data structures and possible algorithms and pick an appropriate one for a design requirement",Analyze,"The verbs 'design', 'evaluate', 'compare', and 'pick' involve breaking down information, identifying relationships, and making informed choices, aligning with analysis.",4,Higher-Order Thinking,Computer Science & Engineering
Algorithms and Operating Systems,"CO-5: Apply principles of dynamic programming, divide and conquer and greedy algorithms. Design and analyze them when required. Argue the correctness of algorithms using proofs",Evaluate,"The verb 'Argue' and the need for 'proofs' indicate a level of justification and critical assessment, which is characteristic of evaluation.",5,Higher-Order Thinking,Computer Science & Engineering
Algorithms and Operating Systems,CO-6: Introduce graph algorithms. Students should be able to model a problem into a graph structure when required and use graph concepts to solve the problems,Apply,"The verbs 'model' and 'use' indicate applying knowledge of graph concepts to solve problems, fitting the application level.",3,Higher-Order Thinking,Computer Science & Engineering
