course,level,complexity,higher_order_count,total_los,avg_complexity
Advanced Computer Architecture,"{'Understand': 2, 'Analyze': 2}",3.0,2,4,3.0
Advanced Computer Networks,"{'Understand': 2, 'Create': 2, 'Apply': 1, 'Analyze': 1}",3.8333333333333335,4,6,3.83
Advanced Natural Language Processing (NLP),"{'Understand': 4, 'Apply': 2}",2.3333333333333335,2,6,2.33
Advanced Operating Systems,"{'Understand': 3, 'Apply': 1, 'Create': 1, 'Analyze': 1}",3.1666666666666665,3,6,3.17
Algorithm Analysis and Design,"{'Understand': 3, 'Apply': 1}",2.25,1,4,2.25
Algorithms and Operating Systems,"{'Apply': 3, 'Understand': 1, 'Analyze': 1, 'Evaluate': 1}",3.3333333333333335,5,6,3.33
Applied Ethics,"{'Understand': 3, 'Analyze': 1, 'Apply': 1, 'Create': 1}",3.1666666666666665,3,6,3.17
Automata Theory,"{'Understand': 2, 'Apply': 1, 'Analyze': 1}",2.75,2,4,2.75
Basics of Ethics,"{'Understand': 3, 'Analyze': 1, 'Apply': 1, 'Create': 1}",3.1666666666666665,3,6,3.17
Behavioral Research: Experimental Design,"{'Apply': 2, 'Understand': 1, 'Remember': 1, 'Evaluate': 1, 'Create': 1}",3.3333333333333335,4,6,3.33
Bio-instrumentation and Devices,"{'Understand': 3, 'Apply': 1, 'Analyze': 1}",2.6,2,5,2.6
Bioinformatics,"{'Apply': 2, 'Understand': 1}",2.6666666666666665,2,3,2.67
Biomolecular Structure Interactions and Dynamics,"{'Understand': 3, 'Remember': 2, 'Apply': 1}",1.8333333333333333,1,6,1.83
Blockchain and Web3 Development,"{'Understand': 3, 'Apply': 1, 'Analyze': 1}",2.6,2,5,2.6
Business Fundamentals,"{'Understand': 3, 'Apply': 2}",2.4,2,5,2.4
Chemical Kinetics and Reaction Dynamics,"{'Apply': 4, 'Understand': 3, 'Analyze': 1}",2.75,5,8,2.75
Chemistry Topics for Engineers,"{'Understand': 4, 'Apply': 1, 'Remember': 1}",2.0,1,6,2.0
Computational Linguistics 2,"{'Apply': 3, 'Create': 2}",4.2,5,5,4.2
Computer Problem Solving,"{'Apply': 2, 'Understand': 1, 'Analyze': 1}",3.0,3,4,3.0
Computer Programming,"{'Apply': 4, 'Understand': 2, 'Analyze': 1, 'Evaluate': 1}",3.125,6,8,3.12
Computing in Sciences-1,"{'Apply': 2, 'Understand': 1}",2.6666666666666665,2,3,2.67
Data Analytics-I,"{'Create': 2, 'Understand': 1, 'Apply': 1, 'Evaluate': 1}",4.4,4,5,4.4
Data Structures & Algorithms for Problem Solving,"{'Understand': 2, 'Apply': 2, 'Create': 1, 'Analyze': 1}",3.3333333333333335,4,6,3.33
Data and Applications [Half],"{'Apply': 4, 'Remember': 1, 'Understand': 1}",2.5,4,6,2.5
Deep Learning: Theory and Practices,"{'Understand': 4, 'Remember': 3}",1.5714285714285714,0,7,1.57
Design Thinking - Idea to Evaluate/Implement,"{'Understand': 2, 'Apply': 2, 'Create': 1}",3.2,3,5,3.2
Design Thinking 101 - Research to Define,"{'Understand': 2, 'Apply': 2, 'Create': 1}",3.2,3,5,3.2
Design for Social Innovation,"{'Understand': 5, 'Apply': 1, 'Create': 1}",2.7142857142857144,2,7,2.71
Design for Testability,"{'Apply': 4, 'Understand': 1}",2.8,4,5,2.8
Digital Image Processing,"{'Apply': 5, 'Remember': 1}",2.6666666666666665,5,6,2.67
Digital Systems and Microcontrollers (DSM),"{'Apply': 4, 'Analyze': 1, 'Understand': 1}",3.0,5,6,3.0
Digital VLSI Design,"{'Apply': 2, 'Create': 2, 'Understand': 1, 'Analyze': 1}",4.0,5,6,4.0
Discrete Structures,"{'Apply': 4, 'Analyze': 1, 'Evaluate': 1}",3.5,6,6,3.5
Distributed Systems,"{'Understand': 3, 'Apply': 1, 'Analyze': 1, 'Evaluate': 1}",3.0,3,6,3.0
Earthquake Resistant Design of Masonry Structures,"{'Understand': 2, 'Remember': 1, 'Analyze': 1, 'Create': 1}",3.0,2,5,3.0
Electronic Workshop-1,"{'Apply': 4, 'Analyze': 1}",3.2,5,5,3.2
